time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656334510,c04af4,43.67755566613149,-79.59655216761996,,,,JZA953  ,True,False,False,6313,,,1656334508.401,1656334508.401
1656334510,acb46d,43.92031394829184,-80.2617972237723,211.48404281670187,300.55741029876447,0.0,ASA7    ,False,False,False,3074,10363.2,10645.140000000001,1656334509.769,1656334509.926
1656334510,c0653f,43.67631912231445,-79.59722474563955,,,,ACA165  ,True,False,False,0567,,,1656334509.089,1656334509.089
1656334510,c1e945,43.670689211053364,-79.59993634905133,,,,MTC565  ,True,False,False,,,,1656334258.929,1656334258.929
1656334510,c00cfe,43.82212829589844,-79.92968891942223,57.124136030638404,308.418055344822,3.5763200000000004,MAL8084 ,False,False,False,5526,2095.5,2095.5,1656334509.61,1656334509.942
1656334510,c067ae,43.678859128790386,-79.61747850690568,51.675381256283345,226.6135389328812,-0.32512,ACA     ,True,False,False,3117,,,1656334503.5,1656334503.5
1656334510,c060b1,43.62887191772461,-79.40014151639718,51.57028475961389,251.38430799266894,1.30048,POE510  ,True,False,False,6507,,,1656334300.753,1656334304.863
1656334510,c06360,43.63070083876787,-79.39489092145647,55.476530390990966,251.0609957397599,-2.9260800000000002,POE682  ,True,False,False,5572,,,1656334291.27,1656334291.27
1656334510,c1e89b,43.68259048461914,-79.62224738542425,,,,SAF210  ,True,False,False,,,,1656334396.321,1656334396.321
1656334510,a0cb44,43.68921661376953,-79.65118230775346,,,,N150MB  ,True,False,False,,,,1656334505.264,1656334505.264
1656334510,ac06f1,43.67534443483514,-79.62656838553295,,,,N874TX  ,True,False,False,1477,144.78,,1656334506.71,1656334508.332
1656334510,c06a9f,43.41851806640625,-79.99477652616275,62.62919939153507,245.75079558959862,0.32512,CGOJU   ,False,False,False,5502,693.4200000000001,708.6600000000001,1656334509.683,1656334509.998
1656334510,c07a7c,43.677683684785485,-79.60255214146207,,,,JZA551  ,True,False,False,6341,,,1656334509.561,1656334509.561
1656334510,a6f280,43.67649660272113,-79.60428510393416,52.77754183036948,226.97493401088195,0.0,LXJ547  ,True,False,False,0522,137.16,,1656334505.913,1656334509.83
1656334510,c1e86b,43.68034744262695,-79.61662647336028,,,,MTC547  ,True,False,False,,,,1656334456.153,1656334456.153
1656334510,c030bb,43.684993743896484,-79.63768892509995,53.12988746802101,226.56935480474897,-0.65024,ACA985  ,True,False,False,3526,144.78,,1656334502.028,1656334509.315
1656334510,a21760,43.25862121582031,-79.43741199582121,83.09982582440018,193.6061030542493,0.0,N234AD  ,False,False,False,0574,1805.94,1813.56,1656334509.825,1656334509.901
1656334510,c1e84e,43.67793273925781,-79.6301038875136,,,,EL53    ,True,False,False,,,,1656334230.997,1656334230.997
1656334510,c1e7e7,43.667046498444115,-79.6230043683733,,,,MTC25   ,True,False,False,,,,1656334496.818,1656334496.818
1656334510,c1e92b,43.66227722167969,-79.62667065997454,,,,LDR137  ,True,False,False,,,,1656334476.123,1656334476.123
1656334510,c0388a,43.982208251953125,-79.11350693813586,75.27776627305059,291.6559890384225,-0.32512,CFVKR   ,False,False,False,0525,1203.96,1181.1000000000001,1656334509.842,1656334509.98
1656334510,c013e1,43.27230679786811,-79.98053414481029,124.29120350180295,36.585318299693405,0.0,ADSBFHNS,False,False,False,4772,1798.3200000000002,1821.18,1656334509.91,1656334509.942
1656334510,c1e87d,43.6796970690711,-79.66905866350447,,,,TRCK264 ,True,False,False,,,,1656334489.197,1656334489.197
1656334510,c067e7,43.67015386031846,-79.6157455444336,49.86923656916147,227.0901591537107,0.0,JZA792  ,True,False,False,1711,137.16,,1656334508.298,1656334509.825
